Torus      N      ρ_x          δ_x/π      ρ_y          δ_y/π     
5×10    60     0.276393     0.000      0.723607     0.000     
5×10    60     0.276393     0.400      0.276393     0.000     
5×10    60     0.723607     0.400      0.723607     0.000     
5×10    60     0.723607     0.400      0.276393     0.000     
5×10    60     0.723607     0.800      0.723607     0.000     
5×10    60     0.723607     0.000      0.723607     0.000     
5×10    60     0.723607     0.000      0.276393     0.000     
5×10    60     0.723607     0.800      0.276393     0.000     
5×10    60     0.276393     0.400      0.723607     0.000     
5×10    60     0.276393     0.800      0.276393     0.000     
10×5     60     0.276393     0.000      0.723607     0.000     
10×5     60     0.723607     0.000      0.723607     0.400     
10×5     60     0.723607     0.000      0.276393     0.400     
10×5     60     0.276393     0.000      0.723607     0.800     
10×5     60     0.276393     0.000      0.276393     0.800     
10×5     60     0.723607     0.000      0.723607     0.800     
10×5     60     0.276393     0.000      0.276393     0.000     
10×5     60     0.723607     0.000      0.723607     0.000     
10×5     60     0.723607     0.000      0.276393     0.000     
10×5     60     0.276393     0.000      0.723607     0.400     
10×5     60     0.276393     0.000      0.276393     0.400     
10×5     60     0.723607     0.000      0.276393     0.800     
10×10    60     0.276393     0.000      0.276393     0.000     
10×10    60     0.276393     0.000      0.723607     0.000     
10×10    60     0.723607     0.000      0.723607     0.000     
10×10    60     0.723607     0.000      0.276393     0.000     
